species,genus,family,species.relative,genus.relative
Dryopteris squamiseta,Dryopteris,Dryopteridaceae
Dryopteris splendens,Dryopteris,Dryopteridaceae
Dryopteris sparsa,Dryopteris,Dryopteridaceae
Dryopteris serratodentata,Dryopteris,Dryopteridaceae
Dryopteris scottii,Dryopteris,Dryopteridaceae
Dryopteris rosthornii,Dryopteris,Dryopteridaceae
Dryopteris redactopinnata,Dryopteris,Dryopteridaceae
Dryopteris ramosa,Dryopteris,Dryopteridaceae
Dryopteris pulvinulifera,Dryopteris,Dryopteridaceae
Dryopteris pseudocaenopteris,Dryopteris,Dryopteridaceae
Dryopteris peranema,Dryopteris,Dryopteridaceae
Dryopteris pauliae,Dryopteris,Dryopteridaceae
Dryopteris panda,Dryopteris,Dryopteridaceae
Dryopteris paleolata,Dryopteris,Dryopteridaceae
Dryopteris nigropaleacea,Dryopteris,Dryopteridaceae
Dryopteris nidus,Dryopteris,Dryopteridaceae
Dryopteris marginata,Dryopteris,Dryopteridaceae
Dryopteris lepidopoda,Dryopteris,Dryopteridaceae
Dryopteris komarovii,Dryopteris,Dryopteridaceae
Dryopteris khullarii,Dryopteris,Dryopteridaceae
Dryopteris juxtaposita,Dryopteris,Dryopteridaceae
Dryopteris hendersonii,Dryopteris,Dryopteridaceae
Dryopteris fructuosa,Dryopteris,Dryopteridaceae
Dryopteris flemingii,Dryopteris,Dryopteridaceae
Dryopteris edwardsii,Dryopteris,Dryopteridaceae
Dryopteris costalisora,Dryopteris,Dryopteridaceae
Dryopteris conjugata,Dryopteris,Dryopteridaceae
Dryopteris cochleata,Dryopteris,Dryopteridaceae
Dryopteris clarkei,Dryopteris,Dryopteridaceae
Dryopteris chrysocoma,Dryopteris,Dryopteridaceae
Dryopteris caroli-hopei,Dryopteris,Dryopteridaceae
Dryopteris blanfordii,Dryopteris,Dryopteridaceae
Dryopteris basisora,Dryopteris,Dryopteridaceae
Dryopteris barbigera,Dryopteris,Dryopteridaceae
Dryopteris atrata,Dryopteris,Dryopteridaceae
Dryopteris apiciflora,Dryopteris,Dryopteridaceae
Dryopteris alpestris,Dryopteris,Dryopteridaceae
Dryopteris acutodentata,Dryopteris,Dryopteridaceae
Dipteris wallichii,Dipteris,Dipteridaceae
Diplopterygium giganteum,Diplopterygium,Gleicheniaceae
Diplazium tibeticum,Diplazium,Athyriaceae
Diplazium succulentum,Diplazium,Athyriaceae
Diplazium subspectabile,Diplazium,Athyriaceae
Diplazium stoliczkae,Diplazium,Athyriaceae
Diplazium squamigerum,Diplazium,Athyriaceae
Diplazium spinulosum,Diplazium,Athyriaceae
Diplazium spectabile,Diplazium,Athyriaceae
Diplazium sikkimense,Diplazium,Athyriaceae
Diplazium maximum,Diplazium,Athyriaceae
Diplazium longifolium,Diplazium,Athyriaceae
Diplazium laxifrons,Diplazium,Athyriaceae
Diplazium latifolium,Diplazium,Athyriaceae
Diplazium kawakamii,Diplazium,Athyriaceae
Diplazium himalayense,Diplazium,Athyriaceae
Diplazium esculentum,Diplazium,Athyriaceae
Diplazium doederleinii,Diplazium,Athyriaceae
Diplazium dilatatum,Diplazium,Athyriaceae
Diplazium bellum,Diplazium,Athyriaceae
Diplaziopsis javanica,Diplaziopsis,Diplaziopsidaceae
Dicranopteris taiwanensis,Dicranopteris,Gleicheniaceae
Dicranopteris splendida,Dicranopteris,Gleicheniaceae
Dicranopteris linearis,Dicranopteris,Gleicheniaceae
Dicranopteris lanigera,Dicranopteris,Gleicheniaceae
Deparia subsimilis,Deparia,Athyriaceae
Deparia petersenii,Deparia,Athyriaceae
Deparia membranacea,Deparia,Athyriaceae
Deparia lancea,Deparia,Athyriaceae
Deparia japonica,Deparia,Athyriaceae
Deparia heterophlebia,Deparia,Athyriaceae
Deparia boryana,Deparia,Athyriaceae
Deparia allantodioides,Deparia,Athyriaceae
Dennstaedtia zeylanica,Dennstaedtia,Dennstaedtiaceae
Dennstaedtia appendiculata,Dennstaedtia,Dennstaedtiaceae
Davallia squamata,Davallia,Davalliaceae
Davallia pulchra,Davallia,Davalliaceae
Davallia multidentata,Davallia,Davalliaceae
Davallia membranulosa,Davallia,Davalliaceae
Davallia hookeri,Davallia,Davalliaceae
Davallia bullata,Davallia,Davalliaceae
