genus,family
Adectum,Dennstaedtiaceae
Anisosorus,Dennstaedtiaceae
Compteris,Dennstaedtiaceae
Coptidipteris,Dennstaedtiaceae
Costaricia,Dennstaedtiaceae
Emodiopteris,Dennstaedtiaceae
Eupteris,Dennstaedtiaceae
Filix-Foemina,Dennstaedtiaceae
Filix-foemina,Dennstaedtiaceae
Fuziifilix,Dennstaedtiaceae
Lepidocaulon,Dennstaedtiaceae
Lindsaynium,Dennstaedtiaceae
Litolobium,Dennstaedtiaceae
Monachosorella,Dennstaedtiaceae
Paradennstaedtia,Dennstaedtiaceae
Patania,Dennstaedtiaceae
Ptilopteris,Dennstaedtiaceae
Scyphofilix,Dennstaedtiaceae
Scypholepia,Dennstaedtiaceae
Scyphopteris,Dennstaedtiaceae
Sitobolium,Dennstaedtiaceae
Sitolobium,Dennstaedtiaceae
Balantium,Dicksoniaceae
Trichosorus,Dicksoniaceae
Aconiopteris,Dryopteridaceae
Acropelta,Dryopteridaceae
Acrophorus,Dryopteridaceae
Acrorumohra,Dryopteridaceae
Adenoderris,Dryopteridaceae
Aetopteron,Dryopteridaceae
Amblia,Dryopteridaceae
Anapausia,Dryopteridaceae
Arthrobotrys,Dryopteridaceae
Ataxipteris,Dryopteridaceae
Botryothallus,Dryopteridaceae
Byrsopteris,Dryopteridaceae
Campium,Dryopteridaceae
Cheiloepton,Dryopteridaceae
Cheilolepton,Dryopteridaceae
Coveniella,Dryopteridaceae
Cyrtogonellum,Dryopteridaceae
Cyrtogonium,Dryopteridaceae
Cyrtomidictyum,Dryopteridaceae
Diacalpe,Dryopteridaceae
Dichasium,Dryopteridaceae
Diclisodon,Dryopteridaceae
Dictyoglossum,Dryopteridaceae
Dorcapteris,Dryopteridaceae
Dryopsis,Dryopteridaceae
Edanyoa,Dryopteridaceae
Egenolfia,Dryopteridaceae
Filix-Mas,Dryopteridaceae
Filix-mas,Dryopteridaceae
Hemesteum,Dryopteridaceae
Heteroneurum,Dryopteridaceae
Hymenodium,Dryopteridaceae
Hypopeltis,Dryopteridaceae
Lacaussadea,Dryopteridaceae
Leptoarachniodes,Dryopteridaceae
Leptorumohra,Dryopteridaceae
Lithostegia,Dryopteridaceae
Lophodium,Dryopteridaceae
Microstaphyla,Dryopteridaceae
Nephrodium,Dryopteridaceae
Nothoperanema,Dryopteridaceae
Papuapteris,Dryopteridaceae
Peltapteris,Dryopteridaceae
Peltochlaena,Dryopteridaceae
Peranema,Dryopteridaceae
Phanerophlebiopsis,Dryopteridaceae
Plecosorus,Dryopteridaceae
Poecilopteris,Dryopteridaceae
Polysticalpe,Dryopteridaceae
Pycnopteris,Dryopteridaceae
Revwattsia,Dryopteridaceae
Rhipidopteris,Dryopteridaceae
Sorolepidium,Dryopteridaceae
